ID,AthleteScore,AthleteDistance,Style_Score,Physical_Score,knee_peak_velocity,flight_std,flight_mean_bsa,flight_jitter,landing_hip_velocity,landing_knee_compression,avg_v_style_front,avg_v_style_back,takeoff_knee_angle,avg_body_ski_angle,avg_symmetry_index_back,takeoff_timing_offset,takeoff_peak_velocity,telemark_scissor_mean,telemark_stability,landing_absorption_rate
JP0034,146.8,138.0,19.0,127.80000000000001,439.6314457051004,9.573256971057168,8.778972926006038,1.7722231886048303,0.0155358591408712,0.0,39.02457277095177,,129.8419023791751,11.023041020295327,,1.0,439.6314457051004,0.2519108297913097,10.895380814034889,0.0081302256343848
JP0035,124.6,111.0,17.166666666666668,107.43333333333332,522.6362097050767,8.612855904226377,8.12289156658644,1.96583530883668,0.0335168527237667,26.074274610831523,,,,4.67082342560218,,2.0,429.9032584105044,0.2746379950880241,33.358057931409405,-0.0074864413619809
JP0036,139.7,134.0,18.833333333333332,120.86666666666666,-30.737852550175266,13.530324595297412,9.199090448502382,12.962751455980104,0.0264789331146551,34.25325836055518,,,,16.714793490622395,,6.0,104.56892943607043,0.7474365376172729,6.378340748605839,0.0033692259415496
JP0037,100.8,91.0,17.0,83.8,210.7905581027401,8.874003527603213,8.180510668703837,5.5307912438346,0.0156580164541799,28.212219916438613,,50.73829796568212,,15.321373992773983,8.367475932083082,4.0,142.40493795082358,0.4960151298801315,13.401632887118952,0.0078942924488747
JP0038,129.3,124.5,18.166666666666668,111.13333333333334,635.187074555625,8.74261454117302,8.91100078268693,1.6317882908734422,0.0137729524098758,17.355754673292125,,,124.69051551421076,13.201712436951944,,1.0,635.187074555625,0.3377532760574526,16.001119176646142,0.0037992166921254
JP0039,142.0,138.0,19.0,123.0,,6.566918706513598,6.107524188498592,1.9539624249085576,0.0477642032741671,45.73232542487274,45.69818036928609,,,16.63981140728174,,,,0.2937950210074198,20.504551875954892,0.0095647390514756
JP0040,120.6,124.5,17.5,103.1,,,,,,,,,,,,,,,,
JP0041,141.5,141.0,19.5,122.0,,,,,,,,,,,,,,,,
JP0042,148.7,126.5,18.666666666666668,130.03333333333333,,,,,,,,,,,,,,,,
JP0043,134.5,102.0,18.5,116.0,,,,,,,,,,,,,,,,
JP0044,128.0,100.0,18.0,110.0,,,,,,,,,,,,,,,,
JP0045,108.9,135.0,18.333333333333332,90.56666666666668,,,,,,,,,,,,,,,,
JP0046,125.2,90.0,18.333333333333332,106.86666666666667,,,,,,,,,,,,,,,,
